IDCOLABORADOR,IDADE,INSATISTFEITO,STATUSCIVIL,GENERO,NOME,SETOR,CARGO,CEP,NIVELEDUCACAO,FORMACAO,RENDAMENSAL,DESCONTOULTIMAFATURA,ANONAEMPRESA,ANOSMESMAPOSICAO,ANOSDESDEULTIMAPROMOCAO
725,27,Nao,Casado,Feminino,Luana Oliveira,Saude,Diretor de Manufatura,1,2,Ciencias Sociais,6009,Nao,9,7,0
727,32,Nao,Solteiro,Feminino,Rafaela Santos,Saude,Diretor de Pesquisa,3,2,Ciencias Sociais,19373,Nao,7,7,7
741,28,Sim,Solteiro,Feminino,Juliana Lima.,Saude,Pesquisador,1,2,Ciencias Sociais,3872,Sim,7,7,3
742,36,Nao,Casado,Feminino,Isabela Costa,Saude,Diretor de Pesquisa,8,3,Ciencias Sociais,20335,Nao,8,7,0
743,38,Nao,Solteiro,Feminino,Livia Rodrigues,Saude,Diretor de Manufatura,1,3,Ciencias Sociais,15397,Sim,1,0,0
746,47,Nao,Divorciado,Feminino,Heloisa Oliveira,Alimentos,Auditor,3,3,Medicina,10225,Sim,22,2,11
757,34,Nao,Solteiro,Feminino,Rafaela Silva,Saude,Representante da Saude,8,2,Medicina,7360,Nao,5,1,4
760,39,Nao,Casado,Feminino,Manuela Santos,Medicamentos,Tecnico de TI,3,3,Recursos Humanos,18767,Nao,8,3,3
763,40,Nao,Solteiro,Feminino,Luana Pereira,Saude,Pesquisador,2,1,Medicina,22929,Sim,4,2,2
764,27,Nao,Solteiro,Feminino,Yasmin Fernandes,Saude,Representante da Saude,7,3,Medicina,23398,Nao,7,6,0
771,35,Nao,Divorciado,Feminino,Mariana Almeida,Saude,Representante da Saude,2,4,Ciencias Sociais,4761,Nao,1,0,0
775,34,Nao,Divorciado,Feminino,Leticia Oliveira,Saude,Diretor de Manufatura,8,5,Ciencias Sociais,4187,Nao,0,0,0
781,25,Nao,Solteiro,Feminino,Amanda Carvalho,Alimentos,Auditor,26,1,Medicina,22807,Nao,6,5,1
785,47,Sim,Solteiro,Feminino,Valentina Martins,Alimentos,Auditor,27,2,Ciencias Sociais,10339,Sim,5,4,1
792,26,Nao,Divorciado,Feminino,Clara Souza,Saude,Tecnico de Laboratorio,1,2,Ciencias Sociais,5288,Nao,2,2,2
793,29,Nao,Casado,Feminino,Eloa Rodrigues,Saude,Representante da Saude,27,3,Medicina,25549,Nao,8,7,1
797,34,Nao,Solteiro,Feminino,Luiza Fernandes,Saude,Pesquisador,1,4,Ciencias Sociais,13551,Nao,4,2,1
799,54,Nao,Divorciado,Feminino,Ana Beatriz Lima,Saude,Diretor de Manufatura,19,4,Medicina,22670,Sim,5,3,1
802,37,Nao,Divorciado,Feminino,Lavinia Costa,Saude,Pesquisador,10,1,Ciencias Sociais,19905,Sim,5,3,4
803,38,Nao,Solteiro,Feminino,Beatriz Oliveira,Saude,Diretor de Manufatura,2,4,Ciencias Sociais,26085,Sim,15,7,4
804,34,Nao,Solteiro,Feminino,Isabela Martins,Saude,Pesquisador,2,4,Medicina,7530,Nao,6,5,1
805,35,Nao,Casado,Feminino,Gabriela Lima,Alimentos,Representante de Setor,8,4,Ciencias Sociais,20317,Nao,3,2,0
807,40,Nao,Casado,Feminino,Renata Almeida,Saude,Representante da Saude,2,2,Medicina,9931,Nao,8,7,3
808,34,Nao,Casado,Feminino,Larissa Fernandes,Alimentos,Auditor,8,2,Ciencias Sociais,13305,Nao,3,2,1
813,52,Nao,Casado,Feminino,Camila Santos,Saude,Tecnico de Laboratorio,11,4,Ciencias Sociais,21821,Nao,5,2,1
816,29,Sim,Casado,Feminino,Fernanda Pereira,Saude,Tecnico de Laboratorio,1,2,Ciencias Sociais,6689,Sim,1,0,0
819,33,Sim,Solteiro,Feminino,Beatriz Rodrigues,Alimentos,Auditor,16,3,Marketing,26507,Nao,3,2,0
820,47,Nao,Casado,Feminino,Ana Costa,Saude,Gestor,,2,Outros,12982,Sim,26,14,3
823,36,Nao,Casado,Feminino,Isabella Martins,Saude,Diretor de Manufatura,1,3,Outros,23361,Nao,9,7,0
826,35,Nao,Solteiro,Feminino,Rafaela Silva,Saude,Pesquisador,1,4,Ciencias Sociais,13301,Nao,2,2,2
827,42,Nao,Casado,Feminino,Bianca Oliveira,Saude,Diretor de Manufatura,1,2,Ciencias Sociais,4051,Sim,4,3,0
830,32,Nao,Casado,Feminino,Juliana Souza,Saude,Diretor de Manufatura,4,3,Ciencias Sociais,19124,Nao,14,13,6
833,30,Nao,Solteiro,Feminino,Amanda Goncalves,Saude,Diretor de Manufatura,2,3,Medicina,20234,Sim,0,0,0
834,45,Nao,Solteiro,Feminino,Natalia Carvalho,Saude,Pesquisador,2,3,Ciencias Sociais,6153,Nao,1,0,0
838,34,Nao,Solteiro,Feminino,Carolina Rodrigues,Saude,Pesquisador,16,4,Ciencias Sociais,8306,Nao,5,2,1
840,49,Sim,Casado,Feminino,Bruna Almeida,Alimentos,Auditor,11,3,Marketing,5860,Nao,9,8,7
846,28,Nao,Casado,Feminino,Priscila Fernandes,Alimentos,Auditor,2,4,Marketing,3698,Sim,8,7,7
848,26,Sim,Casado,Feminino,Thais Pereira,Saude,Pesquisador,5,2,Medicina,20898,Sim,8,7,1
851,51,Nao,Casado,Feminino,Leticia Alves,Alimentos,Gestor,26,4,Marketing,5594,Nao,20,6,4
856,35,Nao,Solteiro,Feminino,Adriana Lima,Saude,Pesquisador,27,1,Medicina,17852,Nao,6,5,1
862,53,Nao,Casado,Feminino,Patricia Oliveira,Alimentos,Auditor,7,2,Marketing,20715,Sim,5,2,0
865,32,Nao,Casado,Feminino,Vanessa Fernandes,Saude,Pesquisador,8,2,Medicina,22162,Nao,5,3,1
867,52,Nao,Casado,Feminino,Luciana Santos,Saude,Diretor de Manufatura,25,4,Medicina,19028,Nao,9,8,0
880,35,Nao,Casado,Feminino,Mariana Pereira,Saude,Diretor de Manufatura,9,3,Ciencias Sociais,23457,Sim,17,14,5
881,35,Sim,Divorciado,Feminino,Giovanna Silva,Saude,Pesquisador,25,4,Ciencias Sociais,16612,Sim,10,2,7
887,49,Nao,Casado,Feminino,Laura Almeida,Saude,Pesquisador,1,3,Formacao Tecnica,10554,Nao,4,2,0
894,42,Nao,Casado,Feminino,Amanda Souza,Saude,Tecnico de Laboratorio,3,3,Ciencias Sociais,23726,Sim,5,3,1
896,29,Sim,Divorciado,Feminino,Maria Fernanda,Alimentos,Representante de Setor,1,3,Medicina,23522,Sim,3,2,0
900,37,Nao,Casado,Feminino,Giovanna Oliveira,Alimentos,Representante de Setor,21,2,Medicina,21222,Nao,5,4,0
901,53,Nao,Solteiro,Feminino,Luiza Martins,Saude,Diretor de Pesquisa,23,4,Ciencias Sociais,20206,Nao,12,9,3
902,43,Nao,Casado,Feminino,Isadora Almeida,Saude,Representante da Saude,1,3,Ciencias Sociais,21782,Nao,5,2,2
903,47,Nao,Casado,Feminino,Heloisa Costa,Alimentos,Auditor,2,2,Marketing,17783,Sim,7,6,7
909,39,Nao,Casado,Feminino,Lara Rodrigues,Medicamentos,Tecnico de TI,2,3,Ciencias Sociais,7790,Nao,5,4,0
912,29,Nao,Divorciado,Feminino,Sophia Pereira,Saude,Tecnico de Laboratorio,7,1,Medicina,6054,Nao,4,3,0
920,43,Nao,Divorciado,Feminino,Valentina Carvalho,Saude,Diretor de Manufatura,8,3,Ciencias Sociais,23814,Nao,1,0,0
922,20,Sim,Solteiro,Feminino,Clara Santos,Alimentos,Representante de Setor,2,3,Medicina,22052,Nao,2,2,0
923,21,Sim,Solteiro,Feminino,Manuela Silva,Saude,Pesquisador,18,1,Outros,8870,Nao,1,0,0
925,47,Nao,Solteiro,Feminino,Alice Lima,Alimentos,Representante de Setor,2,4,Ciencias Sociais,13137,Sim,3,2,1
926,22,Sim,Casado,Feminino,Gabriela Fernandes,Saude,Diretor de Manufatura,3,1,Ciencias Sociais,10022,Sim,3,2,0
927,41,Sim,Divorciado,Feminino,Emanuelly Goncalves,Saude,Tecnico de Laboratorio,2,4,Ciencias Sociais,17725,Sim,7,7,1
930,28,Nao,Divorciado,Feminino,Yasmin Pereira,Saude,Pesquisador,9,3,Medicina,9834,Nao,2,2,2
933,27,Nao,Solteiro,Feminino,Eloa Oliveira,Saude,Pesquisador,4,3,Ciencias Sociais,17808,Nao,1,1,0
936,42,Nao,Solteiro,Feminino,Luana Alves,Alimentos,Auditor,14,2,Medicina,7824,Nao,5,4,0
940,58,Nao,Divorciado,Feminino,Lavinia Costa,Saude,Representante da Saude,5,3,Formacao Tecnica,9255,Sim,6,0,0
942,35,Nao,Casado,Feminino,Beatriz Rodrigues,Saude,Representante da Saude,21,1,Ciencias Sociais,19170,Sim,10,6,0
944,49,Nao,Casado,Feminino,Esther Souza,Saude,Tecnico de Laboratorio,,2,Outros,22477,Nao,26,9,1
947,31,Nao,Casado,Feminino,Lara Lima,Alimentos,Auditor,20,2,Marketing,24406,Nao,9,8,0
950,38,Nao,Casado,Feminino,Luna Martins,Saude,Diretor de Pesquisa,1,3,Formacao Tecnica,16292,Nao,15,12,5
951,32,Nao,Casado,Feminino,Mariana Oliveira,Saude,Tecnico de Laboratorio,1,3,Ciencias Sociais,3974,Nao,3,0,0
961,31,Nao,Casado,Feminino,Rafaela Carvalho,Saude,Representante da Saude,12,3,Medicina,17369,Sim,9,7,8
966,32,Nao,Casado,Feminino,Isabella Fernandes,Saude,Diretor de Manufatura,3,4,Medicina,13554,Nao,8,7,6
969,33,Nao,Solteiro,Feminino,Ana Luiza Silva,Saude,Representante da Saude,1,3,Ciencias Sociais,12291,Nao,5,0,1
974,29,Nao,Casado,Feminino,Vitoria Almeida,Alimentos,Representante de Setor,20,3,Formacao Tecnica,18203,Nao,3,1,0
975,35,Nao,Casado,Feminino,Luiza Costa,Alimentos,Auditor,18,3,Medicina,6179,Nao,5,2,1
983,38,Nao,Solteiro,Feminino,Malu Santos,Alimentos,Auditor,10,3,Formacao Tecnica,19899,Sim,5,3,1
986,40,Sim,Solteiro,Feminino,Melissa Pereira,Alimentos,Auditor,24,3,Ciencias Sociais,17071,Sim,1,0,0
994,29,Sim,Solteiro,Feminino,Marina Oliveira,Saude,Pesquisador,10,3,Ciencias Sociais,11479,Sim,0,0,0
995,33,Nao,Solteiro,Feminino,Milena Carvalho,Saude,Pesquisador,13,1,Ciencias Sociais,17241,Nao,3,2,0
996,45,Nao,Divorciado,Feminino,Rebeca Fernandes,Saude,Tecnico de Laboratorio,1,4,Medicina,11005,Nao,5,3,0
998,33,Nao,Casado,Feminino,Ana Clara Almeida,Saude,Representante da Saude,1,4,Outros,20161,Sim,6,5,1
1001,27,Nao,Casado,Feminino,Amanda Lima,Saude,Tecnico de Laboratorio,16,4,Formacao Tecnica,12086,Nao,2,2,2
1003,47,Nao,Solteiro,Feminino,Maria Eduarda Rodrigues,Alimentos,Auditor,4,2,Ciencias Sociais,8571,Sim,9,0,0
1004,30,Sim,Casado,Feminino,Laura Pereira,Saude,Pesquisador,22,3,Ciencias Sociais,11539,Sim,5,2,0
1009,24,Nao,Divorciado,Feminino,Nicole Oliveira,Saude,Diretor de Manufatura,17,1,Medicina,24117,Nao,4,2,3
1011,31,Nao,Casado,Feminino,Catarina Fernandes,Saude,Diretor de Manufatura,1,1,Ciencias Sociais,11275,Nao,4,3,0
1013,54,Nao,Casado,Feminino,Fernanda Alves,Saude,Diretor de Manufatura,17,3,Formacao Tecnica,13943,Nao,10,7,0
1014,35,Nao,Divorciado,Feminino,Isabela Costa,Saude,Representante da Saude,,4,Medicina,6975,Sim,16,10,10
1015,30,Nao,Casado,Feminino,Livia Rodrigues,Saude,Diretor de Pesquisa,8,2,Ciencias Sociais,17802,Sim,8,7,1
1016,20,Sim,Solteiro,Feminino,Heloisa Oliveira,Saude,Pesquisador,11,3,Medicina,18275,Sim,1,0,0
1017,30,Sim,Solteiro,Feminino,Rafaela Silva,Saude,Tecnico de Laboratorio,5,3,Medicina,25725,Nao,3,2,1
1025,41,Nao,Solteiro,Feminino,Manuela Santos,Saude,Diretor de Manufatura,7,2,Medicina,23371,Nao,2,2,2
1026,39,Nao,Casado,Feminino,Luana Pereira,Saude,Diretor de Manufatura,1,1,Ciencias Sociais,7060,Nao,21,6,11
1027,27,Nao,Casado,Feminino,Yasmin Fernandes,Saude,Diretor de Manufatura,2,4,Ciencias Sociais,4658,Nao,3,2,2
1032,59,Nao,Solteiro,Feminino,Mariana Almeida,Saude,Diretor de Manufatura,2,3,Ciencias Sociais,21829,Sim,5,3,4
1033,37,Sim,Casado,Feminino,Leticia Oliveira,Saude,Representante da Saude,11,2,Medicina,14382,Nao,1,0,0
1035,41,Nao,Divorciado,Feminino,Amanda Carvalho,Saude,Diretor de Pesquisa,7,1,Ciencias Sociais,20284,Nao,21,16,5
1038,52,Sim,Casado,Feminino,Valentina Martins,Alimentos,Gestor,2,1,Marketing,25846,Nao,32,14,6
1039,44,Nao,Casado,Feminino,Clara Souza,Alimentos,Auditor,28,3,Medicina,11737,Sim,12,11,11
1040,50,Nao,Casado,Feminino,Eloa Rodrigues,Alimentos,Auditor,1,3,Ciencias Sociais,24920,Nao,18,7,0
1042,36,Sim,Solteiro,Feminino,Luiza Fernandes,Saude,Tecnico de Laboratorio,16,4,Ciencias Sociais,8269,Nao,17,13,15
1043,39,Nao,Solteiro,Feminino,Ana Beatriz Lima,Saude,Diretor de Manufatura,22,3,Medicina,5083,Sim,21,6,2
1044,33,Nao,Solteiro,Feminino,Lavinia Costa,Alimentos,Representante de Setor,8,1,Ciencias Sociais,21437,Nao,2,2,2
1045,45,Nao,Casado,Feminino,Beatriz Oliveira,Alimentos,Gestor,11,2,Ciencias Sociais,5404,Nao,9,3,1
1046,32,Nao,Solteiro,Feminino,Isabela Martins,Saude,Tecnico de Laboratorio,29,4,Medicina,11135,Nao,8,7,7
1050,53,Nao,Casado,Feminino,Gabriela Lima,Alimentos,Auditor,2,3,Marketing,23537,Nao,15,7,6
1055,34,Nao,Casado,Feminino,Renata Almeida,Alimentos,Representante de Setor,10,4,Ciencias Sociais,18410,Sim,1,1,0
1062,37,Nao,Solteiro,Feminino,Larissa Fernandes,Saude,Representante da Saude,3,3,Outros,13848,Nao,4,3,0
1068,26,Nao,Divorciado,Feminino,Camila Santos,Saude,Pesquisador,1,1,Medicina,25265,Nao,5,3,1
1070,54,Nao,Casado,Feminino,Fernanda Pereira,Alimentos,Auditor,2,4,Ciencias Sociais,8392,Nao,9,4,7
1071,56,Nao,Casado,Feminino,Beatriz Rodrigues,Saude,Pesquisador,9,3,Medicina,12154,Nao,5,4,0
1073,36,Nao,Solteiro,Feminino,Ana Costa,Saude,Diretor de Manufatura,12,5,Medicina,15669,Nao,14,8,7
1077,20,Sim,Solteiro,Feminino,Isabella Martins,Alimentos,Representante de Setor,9,3,Marketing,17205,Sim,2,2,0
1079,21,Sim,Solteiro,Feminino,Rafaela Silva,Saude,Tecnico de Laboratorio,10,3,Ciencias Sociais,17258,Nao,1,0,1
1080,46,Nao,Divorciado,Feminino,Bianca Oliveira,Saude,Pesquisador,8,4,Ciencias Sociais,21029,Sim,16,13,1
1085,41,Nao,Casado,Feminino,Juliana Souza,Saude,Pesquisador,7,2,Formacao Tecnica,18863,Nao,10,6,0
1088,38,Nao,Casado,Feminino,Amanda Goncalves,Saude,Representante da Saude,17,1,Ciencias Sociais,24608,Nao,19,9,1
1097,28,Nao,Solteiro,Feminino,Natalia Carvalho,Saude,Pesquisador,10,3,Outros,7909,Nao,8,7,1
1101,33,Sim,Solteiro,Feminino,Carolina Rodrigues,Saude,Pesquisador,29,4,Medicina,3129,Nao,13,7,3
1105,37,Nao,Divorciado,Feminino,Bruna Almeida,Alimentos,Auditor,10,4,Ciencias Sociais,24223,Sim,1,0,0
1114,33,Nao,Casado,Feminino,Priscila Fernandes,Alimentos,Auditor,7,3,Ciencias Sociais,13401,Nao,3,2,0
1117,45,Nao,Casado,Feminino,Thais Pereira,Alimentos,Auditor,9,4,Ciencias Sociais,17970,Nao,15,10,4
1120,29,Nao,Divorciado,Feminino,Leticia Alves,Saude,Pesquisador,28,4,Ciencias Sociais,26968,Nao,7,5,1
1121,28,Nao,Divorciado,Feminino,Adriana Lima,Saude,Diretor de Manufatura,3,3,Medicina,8039,Nao,9,7,1
1126,43,Nao,Casado,Feminino,Patricia Oliveira,Saude,Diretor de Manufatura,,3,Ciencias Sociais,11535,Nao,8,7,0
1131,21,Nao,Solteiro,Feminino,Vanessa Fernandes,Saude,Pesquisador,1,1,Formacao Tecnica,25326,Sim,2,2,2
1143,29,Nao,Divorciado,Feminino,Luciana Santos,Saude,Pesquisador,10,3,Ciencias Sociais,17940,Nao,7,5,1
1157,33,Sim,Solteiro,Feminino,Mariana Pereira,Alimentos,Auditor,9,4,Marketing,18385,Sim,5,2,0
1161,37,Nao,Divorciado,Feminino,Giovanna Silva,Saude,Representante da Saude,25,2,Medicina,17171,Nao,6,2,1
1163,34,Nao,Casado,Feminino,Laura Almeida,Alimentos,Auditor,9,1,Ciencias Sociais,5829,Nao,6,5,1
1165,29,Sim,Casado,Feminino,Amanda Souza,Alimentos,Auditor,23,1,Ciencias Sociais,11162,Nao,11,8,3
1166,40,Nao,Solteiro,Feminino,Maria Fernanda,Saude,Diretor de Pesquisa,9,4,Medicina,13782,Nao,18,7,2
1175,28,Sim,Casado,Feminino,Giovanna Oliveira,Saude,Tecnico de Laboratorio,12,1,Ciencias Sociais,22955,Sim,1,1,0
1180,40,Nao,Casado,Feminino,Luiza Martins,Saude,Pesquisador,26,2,Medicina,21203,Sim,1,1,0
1188,43,Sim,Solteiro,Feminino,Isadora Almeida,Alimentos,Auditor,9,3,Marketing,9489,Nao,4,3,1
1190,32,Nao,Divorciado,Feminino,Heloisa Costa,Alimentos,Representante de Setor,2,1,Ciencias Sociais,14947,Nao,1,0,0
1191,56,Nao,Divorciado,Feminino,Lara Rodrigues,Saude,Gestor,4,4,Formacao Tecnica,18575,Nao,5,2,4
1192,29,Nao,Casado,Feminino,Sophia Pereira,Saude,Tecnico de Laboratorio,6,1,Medicina,26342,Nao,10,8,0
1195,45,Nao,Casado,Feminino,Valentina Carvalho,Saude,Pesquisador,7,3,Medicina,20100,Sim,3,2,0
1196,37,Nao,Casado,Feminino,Clara Santos,Saude,Diretor de Manufatura,1,3,Ciencias Sociais,9961,Nao,14,8,3
1201,53,Nao,Divorciado,Feminino,Manuela Silva,Saude,Gestor,7,2,Medicina,18640,Nao,7,7,4
1202,29,Nao,Casado,Feminino,Alice Lima,Saude,Pesquisador,15,1,Ciencias Sociais,26933,Sim,5,4,1
1204,46,Nao,Casado,Feminino,Gabriela Fernandes,Alimentos,Gestor,2,3,Marketing,24097,Nao,26,15,15
1215,50,Nao,Casado,Feminino,Emanuelly Goncalves,Saude,Gestor,2,3,Medicina,9490,Nao,2,2,2
1219,24,Sim,Casado,Feminino,Yasmin Pereira,Saude,Tecnico de Laboratorio,17,2,Ciencias Sociais,3372,Nao,1,0,0
1220,33,Nao,Casado,Feminino,Eloa Oliveira,Alimentos,Auditor,25,3,Medicina,4905,Nao,10,7,0
1234,32,Nao,Casado,Feminino,Luana Alves,Saude,Tecnico de Laboratorio,13,3,Outros,7331,Nao,2,2,2
1235,32,Nao,Solteiro,Feminino,Lavinia Costa,Saude,Pesquisador,2,2,Ciencias Sociais,2338,Sim,8,7,0
1237,36,Nao,Divorciado,Feminino,Beatriz Rodrigues,Saude,Diretor de Manufatura,1,3,Formacao Tecnica,4235,Sim,7,7,7
1239,40,Nao,Divorciado,Feminino,Esther Souza,Alimentos,Auditor,10,3,Formacao Tecnica,11591,Nao,5,1,1
1242,42,Nao,Casado,Feminino,Lara Lima,Saude,Diretor de Pesquisa,26,5,Medicina,23281,Sim,1,0,0
1243,35,Nao,Casado,Feminino,Luna Martins,Alimentos,Auditor,8,2,Marketing,13755,Sim,13,2,4
1245,54,Nao,Divorciado,Feminino,Mariana Oliveira,Saude,Diretor de Manufatura,1,4,Ciencias Sociais,9659,Nao,5,4,1
1246,44,Nao,Casado,Feminino,Rafaela Carvalho,Saude,Pesquisador,2,1,Ciencias Sociais,19982,Nao,10,5,7
1248,19,Sim,Solteiro,Feminino,Isabella Fernandes,Saude,Pesquisador,10,3,Medicina,6148,Sim,1,1,0
1249,29,Nao,Divorciado,Feminino,Ana Luiza Silva,Saude,Pesquisador,1,3,Ciencias Sociais,5598,Nao,3,2,1
1252,31,Nao,Solteiro,Feminino,Vitoria Almeida,Saude,Representante da Saude,,3,Medicina,17198,Nao,10,9,1
1254,59,Nao,Solteiro,Feminino,Luiza Costa,Alimentos,Auditor,3,3,Ciencias Sociais,16490,Nao,6,1,0
1264,29,Nao,Divorciado,Feminino,Malu Santos,Saude,Diretor de Pesquisa,1,3,Ciencias Sociais,3423,Nao,7,7,1
1265,34,Nao,Casado,Feminino,Melissa Pereira,Saude,Pesquisador,20,3,Formacao Tecnica,21643,Nao,1,0,0
1269,19,Nao,Solteiro,Feminino,Marina Oliveira,Saude,Pesquisador,25,3,Ciencias Sociais,21221,Sim,1,0,0
1277,45,Sim,Solteiro,Feminino,Milena Carvalho,Alimentos,Gestor,2,3,Marketing,2493,Sim,24,10,1
1279,21,Sim,Solteiro,Feminino,Rebeca Fernandes,Saude,Tecnico de Laboratorio,10,2,Ciencias Sociais,25308,Nao,2,2,2
1280,46,Nao,Casado,Feminino,Ana Clara Almeida,Alimentos,Gestor,4,2,Marketing,9946,Nao,11,4,0
1281,34,Nao,Solteiro,Feminino,Amanda Lima,Alimentos,Auditor,2,3,Marketing,6039,Sim,3,2,0
1285,34,Nao,Divorciado,Feminino,Maria Eduarda Rodrigues,Saude,Tecnico de Laboratorio,19,3,Medicina,22534,Nao,11,8,5
1292,42,Nao,Casado,Feminino,Laura Pereira,Saude,Pesquisador,7,4,Medicina,5628,Sim,1,0,0
1293,43,Nao,Solteiro,Feminino,Nicole Oliveira,Alimentos,Auditor,4,4,Marketing,20364,Nao,21,7,15
1294,36,Nao,Solteiro,Feminino,Catarina Fernandes,Saude,Diretor de Manufatura,2,4,Ciencias Sociais,2323,Sim,16,14,5
1295,44,Sim,Casado,Feminino,Fernanda Alves,Saude,Representante da Saude,15,3,Medicina,14075,Nao,10,7,0
1297,51,Nao,Solteiro,Feminino,Maria da Silva,Saude,Tecnico de Laboratorio,6,2,Medicina,4257,Nao,7,0,7
1298,30,Nao,Solteiro,Feminino,Ana Oliveira,Saude,Diretor de Manufatura,9,2,Medicina,12858,Sim,8,4,1
1299,29,Sim,Divorciado,Feminino,Juliana Santos,Saude,Tecnico de Laboratorio,7,3,Formacao Tecnica,17285,Sim,7,7,7
1303,25,Nao,Solteiro,Feminino,Fernanda Costa,Saude,Pesquisador,1,3,Medicina,18830,Nao,2,2,2
1306,45,Nao,Solteiro,Feminino,Beatriz Lima,Saude,Gestor,25,3,Medicina,13035,Nao,0,0,0
1307,39,Nao,Divorciado,Feminino,Adriana Pereira,Saude,Gestor,13,4,Medicina,17334,Sim,19,9,15
1311,30,Nao,Casado,Feminino,Patricia Almeida,Saude,Tecnico de Laboratorio,6,3,Formacao Tecnica,23631,Nao,9,2,6
1312,36,Nao,Casado,Feminino,Camila Fernandes,Saude,Representante da Saude,10,4,Formacao Tecnica,5747,Nao,7,7,1
1314,46,Nao,Solteiro,Feminino,Rafaela Martins,Medicamentos,Tecnico de TI,1,2,Ciencias Sociais,22957,Nao,7,6,5
1315,28,Nao,Casado,Feminino,Bianca Carvalho,Saude,Tecnico de Laboratorio,1,3,Ciencias Sociais,16392,Nao,9,8,7
1317,50,Nao,Casado,Feminino,Vanessa Souza,Saude,Diretor de Pesquisa,28,3,Ciencias Sociais,22422,Sim,3,2,1
1321,30,Nao,Casado,Feminino,Luciana Goncalves,Saude,Gestor,17,4,Medicina,25927,Sim,9,1,0
1324,31,Nao,Divorciado,Feminino,Amanda Rodrigues,Alimentos,Auditor,2,4,Ciencias Sociais,8935,Sim,10,8,9
1331,31,Sim,Solteiro,Feminino,Isabela Oliveira,Alimentos,Representante de Setor,1,3,Ciencias Sociais,8319,Sim,3,2,2
1336,55,Nao,Casado,Feminino,Larissa Silva,Saude,Gestor,2,2,Medicina,6992,Nao,19,9,9
1349,41,Nao,Divorciado,Feminino,Leticia Santos,Alimentos,Auditor,1,3,Marketing,4297,Nao,9,3,1
1355,38,Nao,Divorciado,Feminino,Bruna Costa,Alimentos,Auditor,2,2,Ciencias Sociais,19461,Nao,7,7,1
1356,34,Nao,Solteiro,Feminino,Carolina Lima,Alimentos,Auditor,15,2,Medicina,23553,Nao,10,8,9
1360,58,Sim,Casado,Feminino,Priscila Pereira,Saude,Diretor de Manufatura,7,4,Medicina,12023,Sim,10,9,5
1362,36,Nao,Casado,Feminino,Thais Almeida,Alimentos,Auditor,7,3,Marketing,2261,Nao,15,7,6
1364,27,Nao,Casado,Feminino,Renata Fernandes,Alimentos,Representante de Setor,11,3,Medicina,6527,Nao,1,0,0
1367,51,Nao,Solteiro,Feminino,Natalia Martins,Saude,Diretor de Manufatura,,2,Formacao Tecnica,24439,Nao,5,2,0
1368,18,Nao,Solteiro,Feminino,Mariana Carvalho,Saude,Tecnico de Laboratorio,1,3,Ciencias Sociais,19305,Nao,0,0,0
1369,35,Nao,Casado,Feminino,Debora Souza,Saude,Tecnico de Laboratorio,1,3,Medicina,10846,Nao,9,7,0
1374,34,Nao,Divorciado,Feminino,Gabriela Goncalves,Saude,Pesquisador,26,1,Formacao Tecnica,15891,Nao,5,4,0
1375,40,Nao,Divorciado,Feminino,Jessica Rodrigues,Saude,Representante da Saude,2,1,Medicina,13888,Nao,12,11,11
1379,31,Sim,Solteiro,Feminino,Patricia Oliveira,Alimentos,Representante de Setor,2,3,Ciencias Sociais,11882,Nao,1,0,0
1380,35,Sim,Casado,Feminino,Daniela Silva,Alimentos,Auditor,18,4,Marketing,23288,Sim,4,2,3
1383,34,Nao,Solteiro,Feminino,Fernanda Santos,Saude,Representante da Saude,2,4,Formacao Tecnica,6163,Nao,14,11,4
1392,41,Nao,Divorciado,Feminino,Paula Costa,Saude,Pesquisador,22,3,Ciencias Sociais,13953,Sim,6,2,3
1401,52,Nao,Casado,Feminino,Amanda Lima,Saude,Diretor de Manufatura,28,2,Medicina,9731,Sim,5,3,0
1402,43,Nao,Solteiro,Feminino,Tatiane Pereira,Saude,Pesquisador,6,3,Medicina,20003,Sim,20,7,1
1403,27,Nao,Casado,Feminino,Sabrina Almeida,Alimentos,Auditor,10,3,Marketing,7100,Sim,6,2,4
1405,27,Sim,Solteiro,Feminino,Bianca Fernandes,Saude,Pesquisador,17,4,Ciencias Sociais,25681,Sim,8,2,7
1408,42,Nao,Casado,Feminino,Luana Martins,Medicamentos,Gestor,10,3,Recursos Humanos,16616,Nao,20,7,0
1409,52,Nao,Casado,Feminino,Caroline Carvalho,Saude,Tecnico de Laboratorio,8,4,Outros,17363,Nao,5,4,0
1411,37,Nao,Solteiro,Feminino,Vivian Goncalves,Saude,Tecnico de Laboratorio,11,3,Medicina,19106,Nao,3,2,0
1421,29,Sim,Solteiro,Feminino,Rafaela Rodrigues,Saude,Representante da Saude,14,1,Outros,22930,Sim,8,7,7
1422,54,Nao,Solteiro,Feminino,Laura Oliveira,Saude,Diretor de Pesquisa,1,3,Medicina,5652,Nao,20,7,12
1423,58,Nao,Casado,Feminino,Isadora Silva,Saude,Diretor de Pesquisa,1,3,Medicina,22456,Sim,9,8,1
1425,36,Nao,Solteiro,Feminino,Beatriz Santos,Alimentos,Auditor,3,4,Marketing,20763,Sim,5,4,0
1427,31,Sim,Solteiro,Feminino,Alessandra Lima,Alimentos,Representante de Setor,1,4,Ciencias Sociais,16154,Nao,1,0,0
